dates	accepted	shownnotaccepted	notshown
2022-05-18	27	91	0
2022-02-27	3	13	0
2022-07-01	63	89	0
2022-03-12	7	15	0
2022-04-07	27	79	0
2022-05-13	27	76	0
2022-03-01	21	101	0
2022-03-26	4	10	0
2022-06-07	19	97	0
2022-07-12	76	90	0
2022-02-19	6	12	0
2022-06-09	22	92	0
2022-02-17	22	72	0
2022-05-28	10	13	0
2022-07-16	19	24	0
2022-05-23	23	98	0
2022-03-22	24	83	0
2022-03-16	23	86	0
2022-04-09	10	17	0
2022-01-25	17	101	0
2022-05-04	27	99	0
2022-05-20	25	86	0
2022-05-05	25	84	0
2022-04-22	21	93	0
2022-02-02	35	82	0
2022-07-09	17	14	0
2022-06-16	29	73	0
2022-01-24	23	103	0
2022-02-11	19	70	0
2022-06-22	30	81	0
2022-01-30	3	4	0
2022-04-16	9	13	0
2022-03-09	25	96	0
2022-03-07	20	122	0
2022-04-12	20	99	0
2022-05-10	29	85	0
2022-06-26	8	7	0
2022-06-01	33	118	0
2022-03-31	17	88	0
2022-02-06	7	5	0
2022-02-21	26	98	0
2022-06-12	6	11	0
2022-07-07	49	91	0
2022-04-01	23	72	0
2022-04-26	14	105	0
2022-02-07	15	87	0
2022-06-19	8	7	0
2022-07-06	53	85	0
2022-04-27	23	97	0
2022-03-06	9	7	0
2022-03-21	22	88	0
2022-04-19	25	99	0
2022-06-27	16	99	0
2022-05-14	5	5	0
2022-05-30	6	15	0
2022-05-08	3	11	0
2022-06-29	61	87	0
2022-07-11	47	76	0
2022-04-17	7	12	0
2022-03-02	23	105	0
2022-05-03	15	102	0
2022-04-29	28	93	0
2022-03-11	22	97	0
2022-05-24	33	113	0
2022-07-02	17	17	0
2022-02-09	25	94	0
2022-06-17	20	87	0
2022-05-25	28	88	0
2022-04-02	9	14	0
2022-03-17	21	87	0
2022-06-11	10	18	0
2022-02-22	26	104	0
2022-02-16	27	93	0
2022-01-28	21	67	0
2022-07-17	16	16	0
2022-06-02	13	98	0
2022-03-29	23	102	0
2022-04-11	9	104	0
2022-01-23	4	10	0
2022-03-27	5	11	0
2022-05-15	6	19	0
2022-06-21	25	96	0
2022-02-12	11	13	0
2022-07-19	82	168	0
2022-06-06	19	81	0
2022-02-01	28	74	0
2022-02-26	12	13	0
2022-04-06	38	93	0
2022-04-21	25	74	0
2022-03-19	5	12	0
2022-02-25	29	95	0
2022-03-28	22	81	0
2022-07-04	9	13	0
2022-03-23	20	82	0
2022-01-29	14	19	0
2022-05-22	4	3	0
2022-04-05	21	93	0
2022-04-20	23	98	0
2022-05-16	35	86	0
2022-06-20	31	85	0
2022-06-05	6	4	0
2022-03-04	18	97	0
2022-03-18	31	80	0
2022-02-15	21	105	0
2022-04-10	11	12	0
2022-05-12	29	90	0
2022-03-13	5	13	0
2022-01-27	30	85	0
2022-05-01	6	6	0
2022-05-26	21	79	0
2022-07-18	60	162	0
2022-07-13	49	93	0
2022-06-10	40	101	0
2022-03-10	25	103	0
2022-05-07	7	17	0
2022-04-13	27	113	0
2022-04-18	21	104	0
2022-06-13	25	126	0
2022-05-31	20	112	0
2022-07-10	10	8	0
2022-02-14	22	103	0
2022-06-18	12	11	0
2022-04-23	9	15	0
2022-02-08	31	96	0
2022-06-04	9	12	0
2022-03-20	4	13	0
2022-03-05	11	21	0
2022-04-28	27	86	0
2022-02-03	28	94	0
2022-07-20	70	209	0
2022-07-05	58	98	0
2022-04-04	19	90	0
2022-06-23	21	82	0
2022-02-24	25	103	0
2022-06-28	29	98	0
2022-05-09	22	97	0
2022-03-30	20	82	0
2022-03-08	30	91	0
2022-02-20	9	9	0
2022-02-05	15	13	0
2022-05-02	17	95	0
2022-04-25	17	124	0
2022-03-03	28	99	0
2022-05-11	14	81	0
2022-07-08	47	100	0
2022-07-03	17	10	0
2022-03-24	21	78	0
2022-06-25	6	9	0
2022-02-10	17	94	0
2022-01-31	25	99	0
2022-07-14	68	169	0
2022-04-15	19	82	0
2022-05-06	19	88	0
2022-05-21	7	14	0
2022-06-15	26	88	0
2022-03-14	18	86	0
2022-02-18	22	86	0
2022-06-14	24	109	0
2022-01-26	25	79	0
2022-03-15	15	78	0
2022-05-27	19	107	0
2022-02-13	3	6	0
2022-07-15	74	178	0
2022-04-14	19	86	0
2022-05-19	25	88	0
2022-05-17	21	81	0
2022-03-25	23	87	0
2022-04-03	4	6	0
2022-02-28	33	117	0
2022-06-24	31	79	0
2022-04-08	34	92	0
2022-02-23	34	98	0
2022-04-30	10	13	0
2022-04-24	1	5	0
2022-06-03	24	80	0
2022-01-22	3	9	0
2022-05-29	5	11	0
2022-02-04	24	85	0
2022-06-30	51	95	0
2022-06-08	31	87	0
